"home_team","away_team","totals_quantile_low","totals_quantile_high","home_score_mean","away_score_mean","Home.Line.Open","Total.Score.Open","Home.Score","Away.Score","totals","over_under","totals_result","totals_win_lose","home_pt_diff","score_diff","side_bet","sides_result"
"Melbourne","Western Bulldogs","161.714270572621","169.107622778282","80.593815223449","85.1043660908589",-8.5,159.5,97,71,168,"over",8.5,"win",-4.5105508674099,26,"away","loss"
"Carlton","Richmond","150.446590894262","157.161012163265","79.3096719558509","74.7988423651183",19.5,163.5,101,76,177,"under",13.5,"lose",4.5108295907326,25,"home","win"
"St Kilda","Collingwood","118.302479765061","123.783277592354","60.216323855501","61.0869606255139",-6.5,159.5,85,102,187,"under",27.5,"lose",-0.870636770012901,-17,"away","win"
"Geelong","Essendon","147.454746582007","153.834113242228","80.8262444763292","70.1047561114566",-12.5,159.5,138,72,210,"under",50.5,"lose",10.7214883648726,66,"away","loss"
"GWS Giants","Sydney","159.825895362644","167.036342719433","83.266640050643","80.3693730555165",-2.5,153.5,92,112,204,"over",50.5,"win",2.8972669951265,-20,"home","loss"
"Brisbane","Port Adelaide","159.107701254703","166.078722243147","83.4114620197954","79.4313440868564",-8.5,168.5,80,69,149,"under",-19.5,"win",3.980117932939,11,"away","loss"
"Hawthorn","North Melbourne","123.248155356574","129.128229702516","58.8949466407387","67.5638568575004",-6.5,157.5,78,58,136,"under",-21.5,"win",-8.6689102167617,20,"away","loss"
"Adelaide","Fremantle","151.195882857701","157.804176277146","79.4486293452826","75.2783406550421",3.5,158.5,82,83,165,"under",6.5,"lose",4.1702886902405,-1,"home","win"
"West Coast","Gold Coast","128.39874153567","134.275720361844","66.3972924822726","65.3159695835703",-23.5,156.5,80,107,187,"under",30.5,"lose",1.08132289870231,-27,"away","win"
"Western Bulldogs","Carlton","162.661050180227","170.273588351331","90.7487368522161","76.5277289462463",-14.5,170.5,90,102,192,"under",21.5,"lose",14.2210079059698,-12,"away","win"
"Sydney","Geelong","148.597526818704","156.483609364745","70.3901417459995","82.8564437629042",-6.5,142.5,107,77,184,"over",41.5,"win",-12.4663020169047,30,"away","loss"
"Collingwood","Adelaide","131.720274254935","138.185738037368","71.9563675383152","63.8461848557827",-8.5,163.5,100,58,158,"under",-5.5,"win",8.1101826825325,42,"away","loss"
"Essendon","Brisbane","167.30631084543","175.496195981431","81.9368502467758","89.9492086726053",9.5,164.5,75,97,172,"over",7.5,"win",-8.01235842582949,-22,"home","loss"
"Port Adelaide","Hawthorn","127.581796329271","133.537974789341","70.7402033791559","60.4800497777387",-26.5,159.5,56,120,176,"under",16.5,"lose",10.2601536014172,-64,"away","win"
"Gold Coast","Melbourne","141.308361158699","148.439673581217","82.3452759892858","63.5316334809239",30.5,156.5,69,82,151,"under",-5.5,"win",18.8136425083619,-13,"home","win"
"North Melbourne","West Coast","134.47934166853","140.613927195915","72.2648775297184","65.7472995018257",-5.5,162.5,74,59,133,"under",-29.5,"win",6.51757802789271,15,"home","win"
"Richmond","GWS Giants","152.877239242406","160.100969603278","79.5686127377052","77.4519148849248",-9.5,164.5,109,73,182,"under",17.5,"lose",2.11669785278039,36,"away","loss"
"Fremantle","St Kilda","137.060761076814","143.684684489988","72.0618730522589","68.985781663326",-4.5,163.5,55,65,120,"under",-43.5,"win",3.07609138893291,-10,"away","win"
"Western Bulldogs","Sydney","161.601232164796","169.217721839373","88.1761993293022","77.7844072094361",-7.5,176.5,71,60,131,"under",-45.5,"win",10.3917921198661,11,"home","win"
"Melbourne","Essendon","159.223909751592","166.503753369125","90.1445267347664","73.2489724832295",-21.5,168.5,99,70,169,"under",0.5,"lose",16.8955542515369,29,"away","loss"
"Adelaide","Port Adelaide","148.978021743351","155.79749990562","84.5916781115941","68.2337504793094",14.5,160.5,96,92,188,"under",27.5,"lose",16.3579276322847,4,"home","win"
"GWS Giants","Gold Coast","142.886181216067","150.140144078713","73.4805832919742","73.6669300483915",-15.5,149.5,83,57,140,"no bet",-9.5,NA,-0.186346756417308,26,"away","loss"
"Collingwood","Geelong","127.147204033377","133.894232840216","69.8338659663905","61.7809403077626",11.5,166.5,91,104,195,"under",28.5,"lose",8.05292565862791,-13,"home","loss"
"Brisbane","North Melbourne","151.925906852008","159.82344555364","69.0987458076304","87.3745305314742",-30.5,163.5,156,48,204,"under",40.5,"lose",-18.2757847238438,108,"away","loss"
"Carlton","Hawthorn","137.702561497296","144.509951739627","71.5990250579125","70.1976206775008",-12.5,171.5,74,73,147,"under",-24.5,"win",1.40140438041171,1,"away","win"
"St Kilda","Richmond","136.672986220984","143.508483442101","71.2769174182469","69.4736163678894",7.5,165.5,117,84,201,"under",35.5,"lose",1.80330105035749,33,"home","win"
"West Coast","Fremantle","141.272453866261","148.046673097547","71.3454208173849","73.7323600117619",4.5,148.5,47,102,149,"under",0.5,"lose",-2.38693919437699,-55,"home","loss"
"Port Adelaide","Melbourne","151.090296234682","158.669025494851","74.1151714927982","81.3231722804856",12.5,170.5,36,68,104,"under",-66.5,"win",-7.2080007876874,-32,"home","loss"
"Geelong","Brisbane","162.005013278481","169.941192885035","84.9797506681157","81.7752244503221",-2.5,168.5,80,70,150,"no bet",-18.5,NA,3.2045262177936,10,"home","win"
"Sydney","North Melbourne","142.398614429226","149.057015268752","79.0235344793001","67.3069925981535",-40.5,155.5,86,75,161,"under",5.5,"lose",11.7165418811466,11,"away","win"
"Collingwood","West Coast","128.111771939424","134.977518886967","62.5710091110361","69.700955068501",-26.5,169.5,74,87,161,"under",-8.5,"win",-7.1299459574649,-13,"away","win"
"Richmond","Western Bulldogs","153.830681262565","160.990818548904","84.9186408306427","73.0803538972726",2.5,170.5,99,61,160,"under",-10.5,"win",11.8382869333701,38,"home","win"
"Fremantle","GWS Giants","154.064777520781","161.566431421321","78.584759970888","79.6961736752424",2.5,158.5,88,54,142,"no bet",-16.5,NA,-1.1114137043544,34,"home","win"
"Essendon","Adelaide","157.734654667678","165.218715253813","83.8644002630475","78.0990911507569",-16.5,173.5,103,99,202,"under",28.5,"lose",5.76530911229059,4,"away","win"
"Hawthorn","St Kilda","123.846539558307","130.190258770619","65.3837122871895","62.559248939494",4.5,166.5,73,142,215,"under",48.5,"lose",2.8244633476955,-69,"home","loss"
"Gold Coast","Carlton","138.403846166393","145.331682586564","70.9675125247049","71.7846067391373",3.5,159.5,92,62,154,"under",-5.5,"win",-0.817094214432402,30,"home","win"
"Brisbane","Collingwood","146.027272821739","153.660149537783","74.0304030215294","77.0783593126957",-20.5,173.5,98,91,189,"under",15.5,"lose",-3.0479562911663,7,"away","win"
"North Melbourne","Western Bulldogs","147.932570958434","154.597710536657","86.6839393383751","65.0821637306403",35.5,166.5,71,139,210,"under",43.5,"lose",21.6017756077348,-68,"home","loss"
"West Coast","Sydney","144.765508227507","151.791078782362","71.9887030591692","76.7788839452208",19.5,162.5,58,121,179,"under",16.5,"lose",-4.7901808860516,-63,"home","loss"
"St Kilda","Gold Coast","132.787668343256","139.991114463059","71.0452449651727","66.6193334055943",-16.5,170.5,87,61,148,"under",-22.5,"win",4.4259115595784,26,"away","loss"
"Adelaide","Richmond","154.265200265006","161.5862558852","81.7581103840476","76.7264157851308",9.5,173.5,101,82,183,"under",9.5,"lose",5.0316945989168,19,"home","win"
"Melbourne","GWS Giants","159.311604565781","166.51813716479","91.8030493620239","71.5362126344573",-16.5,163.5,120,53,173,"no bet",9.5,NA,20.2668367275666,67,"home","win"
"Carlton","Port Adelaide","148.10354926563","154.911713108963","81.6382997891654","70.3439853077533",-7.5,164.5,94,91,185,"under",20.5,"lose",11.2943144814121,3,"home","loss"
"Essendon","Fremantle","152.257772344258","159.627628286722","79.3866137842971","77.1754548423735",-6.5,168.5,59,107,166,"under",-2.5,"win",2.2111589419236,-48,"away","win"
"Hawthorn","Geelong","131.483584360032","138.288363941496","61.7583534445854","73.7972891732282",13.5,158.5,92,80,172,"under",13.5,"lose",-12.0389357286428,12,"home","win"
"GWS Giants","St Kilda","147.156317863694","154.356356494342","79.1017951995133","72.6960589947666",-9.5,161.5,60,77,137,"under",-24.5,"win",6.4057362047467,-17,"away","win"
"Western Bulldogs","Adelaide","166.281710705975","173.675723185343","94.4964142808978","76.0198257631904",-26.5,168.5,62,63,125,"no bet",-43.5,NA,18.4765885177074,-1,"away","win"
"Port Adelaide","West Coast","137.356686012959","144.326519613955","64.1291572071997","77.298298276197",-14.5,162.5,117,33,150,"under",-12.5,"win",-13.1691410689973,84,"away","loss"
"Fremantle","Carlton","152.839379549397","160.115874429168","80.4485852900031","76.748644043393",-2.5,161.5,97,62,159,"under",-2.5,"win",3.69994124661009,35,"home","win"
"North Melbourne","Geelong","140.160721937882","147.685445016284","60.8684096368452","83.4156737997496",30.5,166.5,61,121,182,"under",15.5,"lose",-22.5472641629044,-60,"home","loss"
"Gold Coast","Brisbane","150.931734929414","158.661794527755","72.9153645293761","82.7073394992728",16.5,165.5,80,132,212,"under",46.5,"lose",-9.7919749698967,-52,"home","loss"
"Richmond","Melbourne","154.508945599003","162.399241183029","69.574642809127","89.4860341585903",21.5,169.5,54,76,130,"under",-39.5,"win",-19.9113913494633,-22,"home","loss"
"Hawthorn","Sydney","137.735090956885","144.290611462766","72.463542489859","69.1380146687444",10.5,167.5,68,109,177,"under",9.5,"lose",3.32552782111459,-41,"home","loss"
"Essendon","Collingwood","139.530942492733","146.78976035089","68.9448339991978","74.9463756549838",11.5,172.5,82,93,175,"under",2.5,"lose",-6.001541655786,-11,"home","win"
"West Coast","Richmond","138.013274336646","144.941293285187","69.3966796228469","72.8712387135707",6.5,162.5,56,165,221,"under",58.5,"lose",-3.4745590907238,-109,"home","loss"
"Geelong","Fremantle","150.185330593974","157.528129049021","81.9599357830205","73.134000882116",-20.5,159.5,66,69,135,"under",-24.5,"win",8.8259349009045,-3,"away","win"
"Adelaide","GWS Giants","158.61708641893","166.258681131592","82.5391976602463","80.3351215403852",2.5,164.5,54,113,167,"no bet",2.5,NA,2.2040761198611,-59,"home","loss"
"Melbourne","Hawthorn","140.872870413514","147.362592083125","82.6693903586367","62.1116165410261",-36.5,162.5,91,81,172,"under",9.5,"lose",20.5577738176106,10,"away","win"
"St Kilda","Port Adelaide","140.598131263259","147.74813242297","69.7351854539206","75.3478195410094",-8.5,160.5,42,43,85,"under",-75.5,"win",-5.61263408708881,-1,"away","win"
"Carlton","North Melbourne","143.532853821296","150.692394811278","68.2988786763755","79.1339076062534",-25.5,173.5,114,64,178,"under",4.5,"lose",-10.8350289298779,50,"away","loss"
"Collingwood","Gold Coast","124.381872238178","131.114158298619","61.922561786029","66.8708687741148",-14.5,166.5,115,90,205,"under",38.5,"lose",-4.9483069880858,25,"away","loss"
"Western Bulldogs","Essendon","162.544364790791","169.939846764767","89.3213913388257","77.3152884997192",-19.5,172.5,103,71,174,"under",1.5,"lose",12.0061028391065,32,"away","loss"
"Sydney","Brisbane","170.463569170592","178.737996285969","84.3520966566584","90.7706072881011",-1.5,161.5,89,113,202,"over",40.5,"win",-6.4185106314427,-24,"away","win"
"Port Adelaide","Western Bulldogs","151.564874533109","158.839094998601","77.6140392273787","78.051064791052",-2.5,156.5,86,69,155,"no bet",-1.5,NA,-0.437025563673302,17,"away","loss"
"Fremantle","North Melbourne","139.807945908542","147.084439533081","63.2899190681319","80.6166395105224",-33.5,160.5,102,24,126,"under",-34.5,"win",-17.3267204423905,78,"away","loss"
"Richmond","Collingwood","140.425506371945","147.808982925059","69.3946460184256","75.6546887067302",-9.5,170.5,113,86,199,"under",28.5,"lose",-6.26004268830459,27,"away","loss"
"Sydney","Gold Coast","145.843549449883","153.099819863789","76.801561478004","73.3386879361163",-28.5,169.5,61,75,136,"under",-33.5,"win",3.4628735418877,-14,"away","win"
"GWS Giants","Geelong","152.863272511624","160.827676102838","72.2301278876207","85.1763316247385",7.5,166.5,35,88,123,"under",-43.5,"win",-12.9462037371178,-53,"away","win"
"Essendon","Hawthorn","140.497949180373","147.437044852752","71.6574043739525","72.8541390142178",4.5,172.5,108,81,189,"under",16.5,"lose",-1.19673464026529,27,"home","win"
"Brisbane","West Coast","154.24546933886","162.260314243707","71.1034254643383","87.8406742529602",-39.5,178.5,105,30,135,"under",-43.5,"win",-16.7372487886219,75,"away","loss"
"Melbourne","St Kilda","147.392270170826","155.10228990838","69.6586611045548","82.5092147893164",-20.5,165.5,93,55,148,"under",-17.5,"win",-12.8505536847616,38,"away","loss"
"Carlton","Adelaide","159.633986835442","167.172178987807","84.0426513867291","79.8021230620293",-15.5,172.5,116,68,184,"under",11.5,"lose",4.24052832469981,48,"away","loss"
"Collingwood","Western Bulldogs","146.370800122428","153.610372731046","77.6409863222724","73.0920681465733",18.5,172.5,51,99,150,"under",-22.5,"win",4.5489181756991,-48,"home","loss"
"Hawthorn","Richmond","146.506881022017","153.847305203671","76.5119123064057","74.6840044784771",11.5,172.5,94,117,211,"under",38.5,"lose",1.8279078279286,-23,"home","loss"
"North Melbourne","Port Adelaide","135.179478745841","141.199302546303","80.5315831352945","58.1732445681708",27.5,159.5,46,115,161,"under",1.5,"lose",22.3583385671237,-69,"home","loss"
"St Kilda","Geelong","142.288080593387","149.639929887499","70.1169125488235","76.692461405449",1.5,165.5,90,80,170,"under",4.5,"lose",-6.57554885662549,10,"away","loss"
"Sydney","Essendon","162.035905830999","169.573960799336","85.0547962915939","81.2956187895839",-26.5,172.5,105,47,152,"under",-20.5,"win",3.75917750201,58,"away","loss"
"Adelaide","Brisbane","168.445719026425","176.10576294968","94.6166143271127","78.2385116240289",18.5,169.5,66,102,168,"no bet",-1.5,NA,16.3781027030838,-36,"home","loss"
"Gold Coast","Fremantle","138.326405678618","145.606288885999","67.8153609896854","75.1274605488578",15.5,150.5,69,33,102,"under",-48.5,"win",-7.3120995591724,36,"home","win"
"GWS Giants","Carlton","156.691855416168","164.478228611489","79.1760715333528","81.974744317858",-10.5,161.5,75,105,180,"no bet",18.5,NA,-2.7986727845052,-30,"away","win"
"West Coast","Melbourne","140.996404771756","148.6294923504","59.6623191657963","86.1757106644299",48.5,168.5,38,112,150,"under",-18.5,"win",-26.5133914986336,-74,"home","loss"
"Carlton","Sydney","164.118255301068","171.97437240972","84.7848474876863","83.8574001385118",-4.5,172.5,102,87,189,"under",16.5,"lose",0.9274473491745,15,"away","loss"
"Geelong","Port Adelaide","148.009652193994","155.181869129449","76.3831112455911","75.7200415000685",-25.5,159.5,82,47,129,"under",-30.5,"win",0.663069745522591,35,"away","loss"
"Western Bulldogs","Gold Coast","147.184751943128","154.210994852541","80.5388041915528","70.7125864996844",-20.5,152.5,106,87,193,"no bet",40.5,NA,9.82621769186839,19,"away","win"
"North Melbourne","Melbourne","143.052651687855","150.7884117976","57.0607679697646","90.2638050221872",69.5,163.5,53,100,153,"under",-10.5,"win",-33.2030370524226,-47,"home","win"
"Adelaide","St Kilda","145.30215724721","152.173689082144","79.8577350924705","69.6794024308734",17.5,163.5,69,90,159,"under",-4.5,"win",10.1783326615971,-21,"home","loss"
"Richmond","Essendon","166.478667899981","174.58109845769","86.4989074914524","85.0735114142021",-15.5,176.5,80,48,128,"under",-48.5,"win",1.4253960772503,32,"away","loss"
"GWS Giants","West Coast","134.164404338658","141.039221875026","66.1874238411609","72.4013654423837",-34.5,151.5,138,86,224,"under",72.5,"lose",-6.2139416012228,52,"away","loss"
"Hawthorn","Brisbane","153.882017815467","161.543996152862","71.459130453497","86.8832977999975",24.5,169.5,117,112,229,"under",59.5,"lose",-15.4241673465005,5,"home","win"
"Fremantle","Collingwood","135.24277631354","142.037722333844","71.7144697058809","67.6884571045587",-27.5,145.5,44,80,124,"under",-21.5,"win",4.02601260132221,-36,"away","win"
"Sydney","Richmond","169.368013606303","177.58422133479","88.1850474272541","85.865698016316",-11.5,169.5,106,100,206,"no bet",36.5,NA,2.3193494109381,6,"away","win"
"Brisbane","GWS Giants","165.561885532683","173.618185108627","78.7822024615491","91.0772212781564",-32.5,175.5,110,96,206,"under",30.5,"lose",-12.2950188166073,14,"away","win"
"Geelong","Adelaide","154.352389358122","161.52498245042","87.3193053567428","71.4200774292608",-37.5,160.5,97,55,152,"no bet",-8.5,NA,15.899227927482,42,"away","loss"
"Melbourne","Fremantle","146.796211261173","153.409163067236","81.4977887019315","69.1964749256132",-22.5,151.5,56,94,150,"no bet",-1.5,NA,12.3013137763183,-38,"away","win"
"West Coast","Western Bulldogs","146.682426953744","153.425026742586","85.0292895378333","65.5932001273844",33.5,165.5,60,161,221,"under",55.5,"lose",19.4360894104489,-101,"home","loss"
"Gold Coast","Hawthorn","137.408349062458","144.343223070522","68.9529615074967","72.6922439558413",-8.5,162.5,121,54,175,"under",12.5,"lose",-3.73928244834461,67,"away","loss"
"St Kilda","North Melbourne","129.988503479073","136.021769899565","75.8733747257228","57.9923647184536",-46.5,168.5,103,50,153,"under",-15.5,"win",17.8810100072692,53,"away","loss"
"Collingwood","Carlton","145.971839905857","153.320463429719","76.5111194365832","74.1383434368308",17.5,172.5,79,75,154,"under",-18.5,"win",2.37277599975241,4,"home","win"
